Timestamp,ID,Title,Purpose,Type,Price (PKR),City,Area,Size,Beds,Baths,Owner,Phone,Published,Featured,Description,Photo Count
2026-06-18T13:55:00.000Z,ask-sale-001,5 مرلہ مکان — Millat Town (فروخت),فروخت,مکان,40239085,فیصل آباد,Millat Town,5 مرلہ,3,2,حافظ عبدالصمد خٹک,0321-5315603,Yes,Yes,بہترین لوکیشن، فوری قبضہ، تمام سہولیات موجود — Millat Town، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,1
2026-05-10T07:47:00.000Z,ask-sale-002,3 مرلہ فلیٹ — Eden Garden (فروخت),فروخت,فلیٹ,9637216,فیصل آباد,Eden Garden,3 مرلہ,2,1,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,کورنر پراپرٹی، پارک فیسنگ، سیکیورٹی گیٹ — Eden Garden، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,2
2026-05-18T23:43:00.000Z,ask-sale-003,500 sq ft دکان — Madina Town (فروخت),فروخت,دکان,8181060,فیصل آباد,Madina Town,500 sq ft,0,1,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,نیا تعمیر، ماڈرن ڈیزائن، ویل مینٹینڈ — Madina Town، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,3
2026-06-18T13:55:00.000Z,ask-sale-004,800 sq ft آفس — Peoples Colony (فروخت),فروخت,آفس,11663429,فیصل آباد,Peoples Colony,800 sq ft,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,سرمایہ کاری کے لیے بہترین موقع — Peoples Colony، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,1
2026-06-03T12:19:00.000Z,ask-sale-005,5 مرلہ رہائشی پلاٹ — Susan Road (فروخت),فروخت,رہائشی پلاٹ,7526517,فیصل آباد,Susan Road,5 مرلہ,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,قریب مسجد، اسکول اور مارکیٹ — Susan Road، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,2
2026-05-31T00:34:00.000Z,ask-sale-006,2 کنال کمرشل پلاٹ — Kohinoor City (فروخت),فروخت,کمرشل پلاٹ,7269107,فیصل آباد,Kohinoor City,2 کنال,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,ڈبل روڈ، وسیع پارکنگ، بجلی گیس دستیاب — Kohinoor City، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,3
2026-06-15T03:38:00.000Z,ask-sale-007,5 مرلہ مکان — Civil Lines (فروخت),فروخت,مکان,21650959,فیصل آباد,Civil Lines,5 مرلہ,4,3,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,بہترین لوکیشن، فوری قبضہ، تمام سہولیات موجود — Civil Lines، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,1
2026-06-02T10:15:00.000Z,ask-sale-008,2 کنال صنعتی زمین — Wapda City (فروخت),فروخت,صنعتی زمین,62285596,فیصل آباد,Wapda City,2 کنال,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,Yes,کورنر پراپرٹی، پارک فیسنگ، سیکیورٹی گیٹ — Wapda City، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,2
2026-05-08T13:08:00.000Z,ask-sale-009,5 مرلہ مکان — Canal Road (فروخت),فروخت,مکان,24007585,فیصل آباد,Canal Road,5 مرلہ,3,2,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,نیا تعمیر، ماڈرن ڈیزائن، ویل مینٹینڈ — Canal Road، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,3
2026-05-30T01:31:00.000Z,ask-sale-010,2 مرلہ فلیٹ — D Ground (فروخت),فروخت,فلیٹ,6811858,فیصل آباد,D Ground,2 مرلہ,1,1,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,سرمایہ کاری کے لیے بہترین موقع — D Ground، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,1
2026-06-04T21:37:00.000Z,ask-sale-011,350 sq ft دکان — Millat Town (فروخت),فروخت,دکان,20745495,فیصل آباد,Millat Town,350 sq ft,0,1,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,قریب مسجد، اسکول اور مارکیٹ — Millat Town، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,2
2026-05-21T15:17:00.000Z,ask-sale-012,2000 sq ft آفس — Eden Garden (فروخت),فروخت,آفس,7569688,فیصل آباد,Eden Garden,2000 sq ft,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,ڈبل روڈ، وسیع پارکنگ، بجلی گیس دستیاب — Eden Garden، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,3
2026-06-14T04:05:00.000Z,ask-sale-013,3 مرلہ رہائشی پلاٹ — Madina Town (فروخت),فروخت,رہائشی پلاٹ,10761137,فیصل آباد,Madina Town,3 مرلہ,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,بہترین لوکیشن، فوری قبضہ، تمام سہولیات موجود — Madina Town، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,1
2026-05-20T08:54:00.000Z,ask-sale-014,8 مرلہ کمرشل پلاٹ — Peoples Colony (فروخت),فروخت,کمرشل پلاٹ,6648165,فیصل آباد,Peoples Colony,8 مرلہ,0,0,حافظ عبدالصمد خٹک,0321-5315603,Yes,No,کورنر پراپرٹی، پارک فیسنگ، سیکیورٹی گیٹ — Peoples Colony، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,2
2026-06-15T20:18:00.000Z,ask-sale-015,5 مرلہ مکان — Susan Road (فروخت),فروخت,مکان,23254687,فیصل آباد,Susan Road,5 مرلہ,4,3,حافظ عبدالصمد خٹک,0321-5315603,Yes,Yes,نیا تعمیر، ماڈرن ڈیزائن، ویل مینٹینڈ — Susan Road، فیصل آباد۔ ASK REAL ESTATE کے ذریعے رابطہ کریں۔,3
